bhk,area_sqft,furnishing_status,location_type,mainroad_access,floor_number,parking_spaces,house_age,price
4,855,Unfurnished,Suburban,No,4,3,23,4397534
5,1847,Semi-Furnished,Urban,No,0,3,3,8524333
3,2363,Furnished,Urban,Yes,5,0,3,8850065
5,626,Unfurnished,Rural,Yes,1,0,28,3900965
5,1103,Unfurnished,Urban,Yes,3,0,17,5963770
2,2428,Semi-Furnished,Urban,No,5,0,26,7182728
3,1513,Furnished,Urban,Yes,9,1,10,6645945
3,550,Furnished,Urban,Yes,10,1,26,4163763
3,1930,Furnished,Urban,Yes,7,0,0,7765524
5,2292,Semi-Furnished,Urban,No,7,3,27,9090723
4,2136,Furnished,Suburban,Yes,10,1,9,8607275
3,2145,Semi-Furnished,Rural,Yes,5,3,8,7510105
5,2967,Semi-Furnished,Suburban,Yes,3,2,22,10368939
2,1705,Semi-Furnished,Urban,Yes,7,3,3,6920373
4,2354,Unfurnished,Urban,Yes,7,0,27,8348165
2,1066,Furnished,Rural,No,9,2,5,4071750
4,2918,Furnished,Suburban,No,0,1,29,9629924
5,1435,Semi-Furnished,Rural,No,3,1,15,6235801
1,2434,Semi-Furnished,Suburban,Yes,3,2,1,7763142
4,1832,Furnished,Urban,No,6,3,22,7851396
2,701,Semi-Furnished,Rural,No,10,1,17,3125181
5,2860,Furnished,Rural,No,6,0,9,9801424
4,616,Unfurnished,Urban,Yes,10,2,23,4535669
1,1436,Semi-Furnished,Rural,Yes,7,0,23,4028157
1,1074,Furnished,Suburban,No,10,2,16,3795728
3,2791,Semi-Furnished,Suburban,No,4,1,12,8870518
3,1036,Furnished,Suburban,Yes,6,3,23,5084248
2,2125,Furnished,Suburban,Yes,7,2,17,7444395
4,2622,Semi-Furnished,Urban,No,8,2,21,9904815
4,885,Unfurnished,Rural,Yes,2,0,12,4129291
3,974,Furnished,Suburban,No,2,1,16,4481674
4,917,Furnished,Urban,Yes,3,0,4,5699875
4,2894,Furnished,Rural,No,4,1,10,9664159
1,1438,Unfurnished,Rural,No,9,0,6,4027710
3,1454,Unfurnished,Urban,Yes,0,2,28,6231819
5,1375,Semi-Furnished,Urban,No,6,0,9,6272221
3,1262,Unfurnished,Suburban,No,8,3,16,4707614
